frame_number,timestamp,video_timestamp,centroid x1,centroid y1,velocity x1,velocity y1,distance1,centroid x2,centroid y2,velocity x2,velocity y2,distance2
0,2024-05-11 19:56:02:625107,00:03:59:984,496.5,387.0,,,0.0,,,,,
1,2024-05-11 19:56:02:747123,00:04:00:032,496.5,382.5,0.0,-134.90702850441622,4.5,,,,,
2,2024-05-11 19:56:02:815571,00:04:00:064,496.5,382.5,0.0,0.0,0.0,,,,,
3,2024-05-11 19:56:02:883523,00:04:00:096,496.5,382.5,0.0,0.0,0.0,,,,,
4,2024-05-11 19:56:02:949491,00:04:00:128,496.5,383.38235294117646,0.0,26.45235853027749,0.8823529411764639,,,,,
5,2024-05-11 19:56:03:032819,00:04:00:160,496.5,382.5,0.0,-26.45235853027749,0.8823529411764639,,,,,
6,2024-05-11 19:56:03:134499,00:04:00:192,,,,,,,,,,
7,2024-05-11 19:56:03:224771,00:04:00:224,496.5,382.5,0.0,17.98760380058951,0.6000000000000227,,,,,
8,2024-05-11 19:56:03:290243,00:04:00:256,496.5,378.9,0.0,-107.92562280353366,3.6000000000000227,,,,,
9,2024-05-11 19:56:03:356211,00:04:00:288,496.5,370.5,0.0,-251.82645320824292,8.399999999999977,,,,,
10,2024-05-11 19:56:03:423172,00:04:00:320,496.5,366.0,0.0,-134.90702850441622,4.5,,,,,
11,2024-05-11 19:56:03:488147,00:04:00:352,,,,,,,,,,
12,2024-05-11 19:56:03:554115,00:04:00:384,496.5,360.5869565217391,0.0,-162.2794690705298,5.4130434782608745,,,,,
13,2024-05-11 19:56:03:618595,00:04:00:432,,,,,,,,,,
14,2024-05-11 19:56:03:686051,00:04:00:464,,,,,,,,,,
15,2024-05-11 19:56:03:756483,00:04:00:496,,,,,,,,,,
16,2024-05-11 19:56:03:824435,00:04:00:528,,,,,,,,,,
17,2024-05-11 19:56:03:892883,00:04:00:560,,,,,,,,,,
18,2024-05-11 19:56:03:963315,00:04:00:592,,,,,,,,,,
19,2024-05-11 19:56:04:051107,00:04:00:624,,,,,,,,,,
20,2024-05-11 19:56:04:120051,00:04:00:656,,,,,,,,,,
21,2024-05-11 19:56:04:197923,00:04:00:688,,,,,,,,,,
22,2024-05-11 19:56:04:265380,00:04:00:720,,,,,,,,,,
23,2024-05-11 19:56:04:329859,00:04:00:752,,,,,,,,,,
24,2024-05-11 19:56:04:394339,00:04:00:784,,,,,,,,,,
25,2024-05-11 19:56:04:458819,00:04:00:832,,,,,,,,,,
