                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5652,                 5.7557,                 60.015,                 1.6453,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.3305,                 5.4112,                 26.163,                 1.4587,                0.00018,                0.00018,                0.00018
                      2,                 3.7529,                 4.8408,                 20.588,                 1.3113,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.5209,                 3.5299,                 14.698,                 1.0816,             0.00037624,             0.00037624,             0.00037624
                      3,                 3.3749,                 4.4398,                 12.893,                 1.1756,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.8161,                 2.7667,                  13.98,                 1.1128,             0.00056852,             0.00056852,             0.00056852
                      4,                 3.0161,                 3.5859,                 8.9039,                 1.0972,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.1503,                 2.1624,                 15.272,                 1.1648,             0.00075683,             0.00075683,             0.00075683
                      5,                 2.9187,                 3.6321,                  9.163,                 1.1109,                0.00167,                    0.5,                0.16676,                0.01693,                0.00167,                    0.5,                0.16672,                0.03342,                   3.02,                 2.4236,                  12.23,                 1.1022,             0.00094119,             0.00094119,             0.00094119
                      6,                 2.8221,                 3.5872,                 7.7006,                 1.0655,                0.00111,                0.33333,                0.00759,                0.00315,                0.00222,                0.66667,                0.05727,                0.01151,                 2.7424,                 3.2141,                 13.036,                 1.1424,              0.0011216,              0.0011216,              0.0011216
                      7,                  3.039,                 3.4748,                 7.6003,                 1.0767,                0.00167,                    0.5,                0.27933,                0.06149,                0.00167,                    0.5,                0.49543,                0.10751,                 3.4212,                 1.8821,                 11.145,                 1.2297,               0.001298,               0.001298,               0.001298
                      8,                 2.8424,                 3.3825,                 6.4003,                  1.056,                0.00278,                0.83333,                0.49814,                0.11745,                0.00333,                      1,                0.28398,                0.05143,                 2.3889,                 2.1285,                 7.3692,                 1.0423,              0.0014705,              0.0014705,              0.0014705
                      9,                 2.9078,                 3.3691,                 6.7143,                 1.0663,                0.00056,                0.16667,                0.00038,                  4e-05,                0.00333,                      1,                0.01888,                0.00436,                 3.1915,                 2.7341,                 10.914,                   1.15,               0.001639,               0.001639,               0.001639
                     10,                 2.8737,                  3.048,                 6.3604,                 1.0468,                0.00222,                0.66667,                0.00254,                0.00065,                0.00333,                      1,                0.00797,                0.00285,                 2.8623,                 2.2788,                 7.7985,                 1.2341,              0.0018036,              0.0018036,              0.0018036
                     11,                 2.9127,                 2.9868,                 5.9741,                 1.0722,                0.00278,                0.83333,                0.50271,                0.09126,                0.00333,                      1,                0.07307,                0.01792,                 2.7438,                  2.232,                 6.3962,                 1.1147,               0.001802,               0.001802,               0.001802
                     12,                 2.7618,                 3.0986,                 5.4887,                 1.0315,                0.47798,                0.46329,                0.48889,                0.21768,                0.50583,                0.33333,                0.53223,                0.16762,                 2.7466,                 1.7152,                 5.1307,                 1.1261,              0.0017822,              0.0017822,              0.0017822
                     13,                  2.923,                 3.1988,                 5.6312,                 1.0624,                0.51082,                0.33333,                0.45733,                0.29258,                0.51744,                0.33333,                0.62375,                0.19139,                 2.2441,                 2.1861,                 5.1891,                 1.1173,              0.0017624,              0.0017624,              0.0017624
                     14,                  2.634,                  3.008,                 4.7017,                  1.034,                0.68675,                0.66667,                0.75266,                0.25483,                 0.5691,                0.88413,                0.78814,                0.18118,                 2.6616,                 2.5189,                 3.5472,                 1.1936,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.8739,                 3.0969,                 4.2895,                 1.1087,                0.70327,                0.79476,                0.65558,                0.24026,                0.56937,                0.66187,                0.58398,                0.25075,                 2.5054,                 1.9874,                 3.2823,                 1.1954,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.8376,                 3.3001,                 4.3033,                 1.0525,                0.56561,                0.66667,                0.62371,                0.32949,                0.46316,                0.66667,                0.46128,                0.21847,                 2.1512,                 1.6831,                 3.4234,                 1.0583,               0.001703,               0.001703,               0.001703
                     17,                 2.6054,                   2.94,                 3.6275,                 1.0247,                0.76845,                0.66667,                0.60592,                0.31498,                0.37264,                0.66667,                0.44038,                0.14233,                 2.3144,                 1.8295,                 3.4766,                 1.0402,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.7513,                 3.1063,                 3.5828,                 1.0592,                0.80559,                0.83333,                0.80689,                0.27165,                0.91285,                0.66667,                0.77148,                 0.2915,                 2.4499,                 1.8348,                  4.049,                 1.1546,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.8701,                 3.1924,                  3.954,                 1.0488,                0.75971,                0.66667,                0.59937,                0.26558,                0.31752,                    0.5,                0.20471,                0.08033,                 2.7471,                  1.838,                  3.571,                 1.2099,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.6929,                 2.9845,                 3.2547,                  1.037,                0.71888,                    0.5,                0.52628,                0.26034,                0.94495,                0.66667,                0.78768,                0.24702,                 2.7056,                 1.7145,                 3.7969,                 1.0613,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.7117,                 2.8723,                 3.6395,                0.98943,                0.64783,                0.66667,                0.62704,                0.22412,                0.64783,                0.66667,                0.50894,                0.31096,                 2.8037,                 1.7022,                 3.0575,                  1.128,               0.001604,               0.001604,               0.001604
                     22,                 2.6606,                 2.9408,                 3.1209,                 1.0173,                0.56438,                0.66667,                 0.7085,                0.22888,                0.49955,                0.66667,                  0.548,                0.09022,                 2.8036,                 2.3594,                 2.6146,                 1.0852,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.6168,                 3.0942,                 3.1201,                0.98632,                0.45188,                0.66667,                0.58667,                0.18509,                0.43668,                0.83333,                0.57075,                0.19882,                 2.8136,                 2.0175,                 2.5215,                 1.0975,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.5973,                 2.7635,                 2.9125,                0.97008,                0.83916,                      1,                0.92357,                0.32624,                 0.4888,                0.64053,                0.41432,                0.15304,                 2.4134,                 2.0485,                 2.6254,                 1.0405,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.5362,                 3.0141,                 2.5498,                 1.0088,                0.74501,                0.97672,                   0.87,                0.26052,                0.59865,                0.99494,                  0.663,                0.18973,                 2.3558,                 1.6958,                 2.2103,                 1.0083,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.4341,                 2.6933,                 2.4806,                0.97701,                0.47867,                0.83333,                0.62523,                0.14318,                0.72597,                    0.5,                0.50833,                0.15058,                 2.6838,                 1.7757,                 2.2949,                 1.1154,               0.001505,               0.001505,               0.001505
                     27,                 2.5911,                 2.3491,                 2.5364,                 1.0004,                 0.6444,                0.66667,                0.52621,                0.14023,                0.80609,                0.83333,                 0.8171,                0.15831,                 2.8717,                 2.1547,                 1.8867,                 1.1757,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.5129,                 2.8167,                 2.3582,                0.99675,                0.95296,                0.83333,                0.83523,                0.23849,                0.95296,                0.83333,                  0.855,                0.14176,                 2.6178,                 2.0872,                 2.0032,                 1.1696,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.3914,                 2.6428,                 2.1772,                0.96669,                0.96983,                0.83333,                0.83523,                0.29404,                0.70313,                    0.5,                0.46429,                0.15643,                  2.499,                 2.1419,                 2.1014,                  1.131,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.5089,                 2.5278,                 2.0454,                0.99322,                0.82633,                0.83333,                  0.885,                 0.3664,                0.49263,                0.83333,                0.57633,                0.21068,                 2.2141,                 2.3118,                 1.7576,                 1.1306,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.5901,                 2.7615,                 2.2401,                0.99092,                0.83019,                0.81763,                0.80691,                0.40159,                0.57851,                0.91942,                0.64558,                0.21459,                 2.1986,                 2.3825,                  1.565,                 1.0553,               0.001406,               0.001406,               0.001406
                     32,                 2.3779,                 2.7172,                 2.0493,                0.96959,                      1,                0.83053,                0.83527,                0.25342,                      1,                0.83053,                  0.931,                0.28765,                 2.4682,                 1.9539,                 1.3878,                 1.1389,              0.0013862,              0.0013862,              0.0013862
                     33,                  2.316,                 2.4466,                 1.9365,                0.97223,                      1,                0.81398,                  0.955,                  0.363,                0.79624,                0.65413,                  0.797,                0.26785,                 2.4237,                 1.8779,                 1.3794,                 1.1243,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.3162,                 2.4758,                 1.6947,                0.96716,                0.66545,                0.66667,                0.52625,                0.19665,                0.88017,                    0.5,                 0.5926,                0.15789,                 2.5477,                 1.9725,                 1.3392,                 1.0887,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.3483,                 2.6244,                 1.7728,                0.96747,                0.54445,                0.66667,                0.55256,                0.21225,                0.59756,                0.49593,                0.49942,                0.14081,                 2.6286,                 1.9137,                 1.4649,                 1.0575,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.3497,                  2.766,                 1.8604,                0.97942,                0.80906,                0.83333,                0.75193,                0.19417,                0.55966,                0.63922,                0.53612,                 0.1555,                 2.5678,                 2.0427,                 1.3802,                 1.0472,               0.001307,               0.001307,               0.001307
                     37,                 2.3665,                 2.5114,                 1.8895,                0.93342,                 0.8323,                0.83333,                0.83167,                0.22711,                0.55662,                0.66667,                0.53231,                0.14827,                 2.3827,                 2.0388,                  1.486,                  1.029,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.3651,                 2.7454,                 1.7394,                0.97322,                0.58696,                0.66667,                0.61124,                0.19058,                0.60688,                0.77697,                 0.7555,                0.12271,                 2.9052,                   1.95,                 1.4429,                 1.0981,              0.0012674,              0.0012674,              0.0012674
                     39,                  2.264,                 2.1479,                 1.6673,                0.94049,                0.70488,                0.80042,                0.65412,                0.18082,                0.55982,                    0.5,                0.44115,                0.09065,                 3.0855,                 1.9025,                 1.5587,                 1.1362,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.3062,                 2.3868,                  1.715,                0.93422,                0.57066,                0.83333,                0.66377,                0.24401,                0.45142,                0.66667,                0.50333,                0.13201,                 2.8389,                  1.894,                 1.3164,                 1.1588,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.3122,                 2.2489,                 1.6696,                0.95645,                0.68806,                0.83333,                0.66699,                0.27046,                0.46431,                    0.5,                0.33607,                0.10664,                 2.3871,                 2.1418,                 1.2389,                 1.0625,               0.001208,               0.001208,               0.001208
                     42,                 2.2621,                 2.6583,                 1.6905,                0.92748,                0.65238,                0.66667,                0.56609,                0.21272,                0.32605,                0.33333,                0.15304,                0.03368,                 2.5188,                 2.2166,                 1.4935,                 1.0449,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.3368,                 2.0636,                 1.6574,                0.90998,                0.64064,                0.66667,                0.57296,                 0.2421,                0.45249,                    0.5,                0.41739,                0.17491,                 2.5304,                 2.2184,                 1.3877,                 1.0521,              0.0011684,              0.0011684,              0.0011684
