                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.5652,                 5.7557,                 60.015,                 1.6453,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.3305,                 5.4112,                 26.163,                 1.4587,                0.00018,                0.00018,                0.00018
                      2,                 3.7461,                 4.8559,                 20.761,                  1.307,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4518,                 3.6275,                 14.838,                 1.0926,             0.00037925,             0.00037925,             0.00037925
                      3,                 3.3481,                 4.3829,                  13.04,                 1.1631,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.6287,                  3.104,                 15.168,                 1.0881,              0.0005777,              0.0005777,              0.0005777
                      4,                 3.0721,                 3.5688,                 8.8953,                 1.0991,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  2.934,                 3.1618,                 16.786,                   1.12,             0.00077537,             0.00077537,             0.00077537
                      5,                 2.9201,                 3.6221,                 8.9278,                 1.1006,                0.00056,                0.16667,                0.00039,                  8e-05,                0.00111,                0.33333,                0.02428,                0.00486,                 3.1065,                 4.4302,                 13.921,                 1.1816,             0.00097224,             0.00097224,             0.00097224
                      6,                 2.7257,                 3.6377,                 7.6357,                 1.0835,                0.00056,                0.16667,                0.00049,                  8e-05,                      0,                      0,                      0,                      0,                 3.0506,                 3.3368,                 14.736,                 1.1773,              0.0011683,              0.0011683,              0.0011683
                      7,                 3.0494,                 3.5237,                  7.878,                 1.0787,                0.00167,                    0.5,                0.10489,                0.04201,                0.00156,                0.33333,                0.33576,                0.16728,                 2.6563,                 2.2323,                 10.195,                 1.1052,              0.0013636,              0.0013636,              0.0013636
                      8,                 2.8722,                 3.2848,                 6.8785,                 1.0705,                 0.0045,                    0.5,                0.45596,                0.17873,                  0.003,                0.33333,                0.33628,                0.14265,                 2.5162,                 2.3342,                 6.7962,                 1.0131,              0.0015581,              0.0015581,              0.0015581
                      9,                 2.8277,                 3.3052,                 6.8023,                 1.0448,                0.58581,                0.33333,                0.34806,                0.12255,                0.00111,                0.33333,                0.05568,                 0.0058,                 2.7605,                 3.3377,                 6.7259,                 1.1567,              0.0017518,              0.0017518,              0.0017518
                     10,                 2.6744,                 3.0307,                 6.1967,                 1.0318,                0.62411,                0.29077,                0.32027,                 0.0652,                0.75179,                0.33333,                0.72188,                0.33759,                 3.3955,                 2.0236,                 6.4954,                  1.292,              0.0019447,              0.0019447,              0.0019447
                     11,                 2.9524,                 3.0949,                  6.207,                 1.0674,                0.66688,                    0.5,                0.46474,                0.10363,                0.98558,                    0.5,                0.58037,                 0.1776,                 2.6599,                 2.5778,                 5.4357,                 1.1388,              0.0019604,              0.0019604,              0.0019604
                     12,                 2.8723,                 3.3426,                 5.3466,                 1.0582,                0.78458,                0.61526,                0.73748,                 0.2033,                0.54556,                0.83333,                 0.8397,                0.28214,                 2.4152,                 2.0269,                 4.3186,                 1.0271,              0.0019564,              0.0019564,              0.0019564
